ID	UMAP_embedding1	UMAP_embedding2
sample206	9.064336	3.7713225
sample207	10.579529	0.20665729
sample208	6.4466453	5.4296064
sample209	10.355359	0.23436034
sample210	10.041627	1.4755068
sample211	3.5414572	0.58387846
sample212	4.884529	6.1984825
sample213	0.23353016	4.2044597
sample214	8.297341	4.229552
sample215	0.10549493	0.87345624
sample216	9.475232	2.0587635
sample217	1.8010373	4.901885
sample218	0.8225649	4.967606
sample219	6.3441215	4.957913
sample220	5.749896	-1.1458879
sample221	10.781787	3.4003313
sample222	2.3810132	5.4630895
sample223	1.1350468	5.810348
sample224	3.2647038	7.6914997
sample225	7.5235567	0.8786493
sample226	0.6185755	3.5360973
sample227	2.5650544	6.8815336
sample228	9.545106	5.7741637
sample229	3.7134533	0.68901145
sample230	7.815071	-0.24384952
sample231	10.170245	5.167245
sample232	7.9099145	-0.4200247
sample233	3.356131	4.616292
sample234	5.350774	-1.533622
sample235	7.540292	0.8520014
sample236	9.073818	6.4889297
sample237	10.129594	1.5659733
sample238	9.175058	5.601659
sample239	3.412548	3.777048
sample240	9.228711	8.018704
sample241	5.913821	5.476269
sample242	0.23745051	0.47618422
sample243	1.7038054	6.558488
sample244	8.474255	4.306438
sample245	10.24882	1.5875697
sample246	1.6570703	-0.75795835
sample247	6.5360947	1.3129603
sample248	10.215834	4.2543797
sample249	8.1961355	-0.55503565
sample250	-0.19364262	2.2234087
sample251	10.805896	3.2099948
sample252	1.2705705	3.6779566
sample253	2.4145825	5.294719
sample254	9.417648	5.194217
sample255	2.1739097	-0.1546011
sample256	8.553105	4.3759427
sample257	6.067151	0.38886026
sample258	0.32512584	4.923689
sample259	10.068082	6.319668
sample260	6.441001	5.5200634
sample261	5.9401803	-1.269294
sample262	5.848636	-1.2547094
sample263	8.391733	-0.54096836
sample264	9.525757	0.4161687
sample265	10.611681	0.40886477
sample266	-0.118584946	0.18659289
sample267	1.3955034	4.8214884
sample268	-0.20075119	0.098994076
sample269	10.854373	0.5193251
sample270	8.112279	4.206543
sample271	5.569945	3.5393739
sample272	9.042805	3.7609453
sample273	6.593935	3.7223234
sample274	10.006706	6.3097315
sample275	9.174164	7.9357033
sample276	7.865814	0.78538424
sample277	6.284458	4.860533
sample278	10.962305	2.535692
sample279	8.550473	4.2161074
sample280	9.46137	1.2436656
sample281	1.3570526	3.896508
sample282	10.504497	3.439397
sample283	10.348128	1.3108793
sample284	1.0962995	-0.14155564
sample285	3.959528	6.9099803
sample286	6.489961	4.788247
sample287	0.60175854	5.62997
sample288	2.7149968	6.7708573
sample289	10.088916	5.621283
sample290	10.721133	3.2337976
sample291	6.140841	5.0820675
sample292	9.27122	0.5828154
sample293	5.258209	-1.4474638
sample294	0.78544515	5.798635
sample295	2.2800775	5.360746
sample296	1.1107818	4.877549
sample297	3.210391	7.690628
sample298	0.28245044	0.57084316
sample299	10.492431	0.20302834
sample300	9.411492	3.7245176
sample301	10.034063	5.71293
sample302	7.1195536	4.2468615
sample303	6.0540566	0.12645754
sample304	8.844429	3.9307747
sample305	1.9797691	-0.5711625
sample306	3.5153725	3.8948474
sample307	6.4504147	1.265253
sample308	5.693414	-1.0394008
sample309	10.738411	0.41520375
sample310	8.99805	3.8433638
sample311	9.241277	6.6385427
sample312	9.0446205	7.8633533
sample313	1.5793874	-0.74707246
sample314	-0.1278653	1.5022178
sample315	6.2473392	4.8266892
sample316	10.552341	3.7997944
sample317	3.0608149	0.062398348
sample318	5.637021	-1.2226173
sample319	5.688125	0.86427015
sample320	0.36303493	5.2378807
sample321	2.404063	6.387557
sample322	6.5272994	1.5373303
sample323	6.436499	4.635977
sample324	1.3707834	5.4087386
sample325	10.922714	1.6780144
sample326	9.328005	5.3711934
sample327	5.972652	-1.137204
sample328	1.87129	-0.6034108
sample329	7.7440286	-0.09648987
sample330	10.515634	3.687628
sample331	10.228908	3.9160383
sample332	6.723683	-0.5178663
sample333	0.9413473	3.844572
sample334	9.302182	6.756079
sample335	3.2750797	7.7015295
sample336	2.690443	6.706491
sample337	9.439879	2.2144024
sample338	9.452411	2.1654859
sample339	4.981757	-0.87345827
sample340	3.2465415	-0.13526045
sample341	3.703333	7.157373
sample342	5.316033	-0.6645142
sample343	8.872803	7.256284
sample344	10.208069	3.3968117
sample345	3.2835672	-0.08435407
sample346	6.6923037	-0.75275475
sample347	3.6673422	7.1310883
sample348	7.343446	-0.096200734
sample349	9.299382	5.3125153
sample350	9.107762	7.9579315
sample351	0.2900785	5.2767625
sample352	6.3249245	3.8497417
sample353	7.74052	0.88992554
sample354	2.4982882	5.0762577
sample355	1.7310307	6.5719633
sample356	1.8708352	-0.6502354
sample357	9.07336	3.7288744
sample358	9.644169	2.011695
sample359	5.1095524	6.041058
sample360	6.4849086	1.8249007
sample361	11.046121	2.541475
sample362	7.612918	4.13188
sample363	2.4901757	-0.1896189
sample364	3.2411404	-0.111821
sample365	7.553885	0.8195418
sample366	6.506196	4.7846265
sample367	-0.1150273	1.4416499
sample368	3.6176395	0.08189577
sample369	2.2453723	5.896211
sample370	3.2289746	7.6881003
sample371	2.9403727	6.9456916
sample372	1.2351238	-0.1244949
sample373	5.1914854	6.021021
sample374	-0.25679123	2.0634935
sample375	-0.16057116	0.145655
sample376	3.6322117	3.9617195
sample377	-0.2063093	2.020149
sample378	3.4748988	4.4022613
sample379	5.88038	3.7794461
sample380	10.786106	2.278834
sample381	0.9411457	3.8737004
sample382	6.9565005	0.38465577
sample383	6.873066	-0.459212
sample384	7.5359416	3.8667245
sample385	10.105517	1.6434382
sample386	1.6454144	6.460048
sample387	3.5159352	3.889267
sample388	0.24443787	3.4135013
sample389	3.2801616	7.742157
sample390	10.513688	0.22121625
sample391	10.019927	6.237139
sample392	0.036768645	0.96258
sample393	5.257132	-1.2194492
sample394	3.0959244	5.042861
sample395	5.7314434	3.502452
sample396	0.18509774	5.051812
sample397	0.59984493	5.6460657
sample398	11.013344	1.3822814
sample399	0.76124537	4.071127
sample400	10.746314	1.7168765
sample401	9.560428	0.47574183
sample402	7.632538	0.7421435
sample403	8.769592	7.315445
sample404	10.274534	4.6265664
sample405	7.885875	-0.42135346
