mean_fit_time	std_fit_time	mean_score_time	std_score_time	param_C	param_penalty	params	split0_test_score	split1_test_score	split2_test_score	mean_test_score	std_test_score	rank_test_score
0.017285267512003582	0.006625436738759384	0.00390013058980306	0.002110155735349734	9	l2	{'C': 9, 'penalty': 'l2'}	0.8310989738497186	0.7380834160873883	0.7314439946018894	0.7668754615129988	0.04549370016507147	1
0.009928305943806967	0.0028421084397218213	0.009030659993489584	0.004832626141731229	6	l2	{'C': 6, 'penalty': 'l2'}	0.8310989738497186	0.7374213836477987	0.7314439946018894	0.7666547840331356	0.04563421593343004	2
0.01026757558186849	0.001977549442056467	0.004257599512736003	0.0029440274359413565	6	l2	{'C': 6, 'penalty': 'l2'}	0.8310989738497186	0.7374213836477987	0.7314439946018894	0.7666547840331356	0.04563421593343004	2
0.0007596015930175781	0.00013051190687181214	0.0	0.0	4	l1	{'C': 4, 'penalty': 'l1'}						4
0.0005997816721598307	7.221979975914212e-06	0.0	0.0	9	l1	{'C': 9, 'penalty': 'l1'}						4
0.0007394949595133463	3.227048288143301e-05	0.0	0.0	4	l1	{'C': 4, 'penalty': 'l1'}						4
0.0006694793701171875	4.038550816279124e-05	0.0	0.0	7	l1	{'C': 7, 'penalty': 'l1'}						4
0.0005460580190022787	2.793015962546604e-05	0.0	0.0	5	l1	{'C': 5, 'penalty': 'l1'}						4
0.0006357828776041666	8.505504607869055e-05	0.0	0.0	8	l1	{'C': 8, 'penalty': 'l1'}						4
0.0005727608998616537	5.0842385435380734e-05	0.0	0.0	9	l1	{'C': 9, 'penalty': 'l1'}						4
